날짜,설비용량(메가와트),경도,위도,발전기명,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2022-06-10,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,336,17136,76176,173568,282288,350352,312192,334320,350928,224928,53376,52560,34464,6624,5904,0,0,0,0
2022-06-11,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,288,29280,65424,177792,292128,378240,440736,475488,483312,454944,392688,298896,175248,52848,2784,0,0,0,0
2022-06-12,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,336,19248,70080,163584,287232,379728,376128,360480,336768,387552,291312,147696,81168,29424,1920,0,0,0,0
2022-06-13,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,144,22512,84432,171072,274224,330288,389952,428544,445344,419616,339840,258624,110784,34944,1776,0,0,0,0
2022-06-14,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,432,18288,62016,164064,255264,356112,468288,430416,295632,177984,52464,24768,7344,10080,0,0,0,0,0
2022-06-15,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,1440,23760,34560,57792,96432,147408,214800,202512,202368,161616,101040,71376,14784,528,0,0,0,0
2022-06-16,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,1680,18240,129264,316416,405120,462576,500160,503232,473088,415488,321264,190704,61008,4032,0,0,0,0
2022-06-17,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,15120,23328,45264,83472,91536,111600,158688,137712,130992,119424,47376,107520,31920,1728,0,0,0,0
2022-06-18,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,576,33936,79776,114432,114864,87696,66528,99840,212064,339216,395328,152016,69600,10512,2208,0,0,0,0
2022-06-19,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,7536,35520,59088,79728,105216,83952,116496,168384,134400,129168,62112,45552,45744,1296,0,0,0,0
2022-06-20,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,10752,67296,176448,306240,396336,446640,460992,486384,458064,388128,290016,167856,58128,4464,0,0,0,0
2022-06-21,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,768,23856,76944,160080,285024,374784,434928,463968,434064,424224,363168,277632,163104,54288,3408,0,0,0,0
2022-06-22,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,8496,45456,121440,191568,305760,379872,238608,210864,346800,326352,156432,117840,46032,3792,0,0,0,0
2022-06-23,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,13248,15600,64464,60816,106656,49104,22992,10368,14256,30768,6096,4128,48,0,0,0,0,0
2022-06-24,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,2688,27024,140208,131040,111552,88656,272016,278928,158256,225744,214560,196800,68688,1968,0,0,0,0
2022-06-25,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,1536,31248,61440,147360,132768,106560,190656,355776,450096,346800,376224,279024,152880,41136,2160,0,0,0,0
2022-06-26,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,1200,20736,19824,48960,108000,65856,278448,302496,346224,216528,163776,56928,32496,2160,0,0,0,0
2022-06-27,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,4800,38832,63456,64224,50448,60240,100368,43248,81888,45024,37200,8688,576,768,0,0,0,0
2022-06-28,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,5808,70560,91440,125808,152064,116880,51456,43200,54720,36624,18480,6576,3264,288,0,0,0,0
2022-06-29,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,1008,4800,13536,9504,17040,32448,174048,344784,72720,21792,46032,15024,5808,144,0,0,0,0
2022-06-30,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,0,96,5232,9888,54048,112896,193200,190032,65424,93360,16464,4176,6912,0,0,0,0,0
2022-07-01,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,10848,57120,145488,294768,307776,224448,459264,488208,435456,373152,321264,200928,61392,768,0,0,0,0
2022-07-02,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,6672,66816,124272,265728,371952,427488,443376,488784,424848,401904,311808,194112,61872,1920,0,0,0,0
2022-07-03,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,96,16080,56736,151584,217200,351648,429840,461136,462480,442944,393408,277728,182400,49200,288,0,0,0,0
2022-07-04,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,672,38208,74496,134880,254592,330576,275904,375840,394176,431376,348336,141504,87840,61008,6240,0,0,0,0
2022-07-05,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,5664,23376,58368,180000,305376,416064,427488,462144,429600,383232,306384,141552,60432,2400,0,0,0,0
2022-07-06,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,144,21168,50208,182880,250512,279216,178320,248736,269808,297456,209472,213024,66048,22176,528,0,0,0,0
2022-07-07,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,3648,21120,118032,159504,155328,173376,221568,97680,240576,305856,111888,61200,0,0,0,0,0,0
2022-07-08,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,17904,67200,68496,87456,159408,287376,387504,406416,457680,362160,317616,197568,60384,1680,0,0,0,0
2022-07-09,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,18240,80448,176352,274032,361488,422736,451200,450960,426528,366384,264288,165312,52800,2784,0,0,0,0
2022-07-10,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,624,13200,53232,126288,205584,342864,410928,448992,449232,373296,322176,270144,72000,8880,0,0,0,0,0
2022-07-11,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,2352,46512,130944,115296,151728,236688,361248,279936,314064,384432,291312,176544,59712,2112,0,0,0,0
2022-07-12,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,1152,30576,66912,62352,88896,95376,206448,162480,200928,133104,130272,76656,34512,5568,1536,0,0,0,0
2022-07-13,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,0,1344,7200,2544,38256,40992,10608,432,7728,1200,48,8784,48,0,0,0,0,0
2022-07-14,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,7104,75840,107760,84432,93360,136080,184896,312576,470448,412416,332688,164976,55296,3888,0,0,0,0
2022-07-15,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,9744,25440,72864,241632,351024,411840,466320,453360,456288,409872,322656,201936,62592,912,0,0,0,0
2022-07-16,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,4272,79728,170256,281424,376800,440016,479616,487872,466656,412272,319392,188256,55248,2928,0,0,0,0
2022-07-17,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,1584,45408,127344,230736,296832,351888,454608,343824,270240,289680,259008,147168,27648,672,0,0,0,0
2022-07-18,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,96,22896,46032,65760,110496,149232,246000,223344,156912,70608,128208,183840,58800,960,0,0,0,0
2022-07-19,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,14832,62160,172320,260880,370416,432288,460080,476112,453504,344160,175392,88800,30960,96,0,0,0,0
2022-07-20,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,12960,72912,147936,133248,246672,416928,398496,409584,439728,390624,127152,57072,8736,0,0,0,0,0
2022-07-21,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,0,2640,33360,56448,54480,167424,250848,420624,363168,194160,249216,136800,10368,480,0,0,0,0
2022-07-22,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,20160,80064,166704,100176,276240,429696,483696,479424,458544,401088,317280,189312,55056,1200,0,0,0,0
2022-07-23,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,21504,38160,69696,132912,198192,191376,244128,121440,100944,28848,14256,14544,2208,0,0,0,0,0
2022-07-24,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,14544,41952,51408,42048,54288,60912,246960,234720,324240,155040,239136,154560,39408,384,0,0,0,0
2022-07-25,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,16320,51456,174288,295392,405792,448368,485472,474000,452496,393600,306480,192720,57888,768,0,0,0,0
2022-07-26,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,17424,54000,153744,266160,361872,422640,464064,431712,356160,311760,254256,139008,34656,624,0,0,0,0
2022-07-27,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,5088,22080,67392,120288,235296,343728,346368,386400,375552,364224,260784,178032,65040,192,0,0,0,0
2022-07-28,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,12288,53664,150672,267696,359184,423312,460656,475440,444048,380160,290928,162000,49632,1536,0,0,0,0
2022-07-29,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,11136,50016,147744,271968,341664,261456,443040,465888,338352,221376,168000,109536,32592,2592,0,0,0,0
2022-07-30,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,4944,37056,147360,271104,363120,426672,448464,437136,335952,314784,145008,156336,23808,672,0,0,0,0
2022-07-31,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,1728,11232,19584,50592,100848,128544,95856,102384,12096,24768,11808,13200,2016,48,0,0,0,0
2022-08-01,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,1008,47280,145824,94656,186384,304992,306384,233136,171168,153408,130032,15600,9504,144,0,0,0,0
2022-08-02,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,672,6720,41616,75792,146448,283968,179568,75600,80496,57888,8976,65232,17184,3552,0,0,0,0
2022-08-03,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,48,8880,84672,106032,85920,157248,326592,457776,435072,362832,283056,145728,20880,0,0,0,0,0
2022-08-04,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,4128,44400,81120,166464,279600,376752,430704,455856,444432,384432,298368,180048,44208,1968,0,0,0,0
2022-08-05,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,528,16368,91344,222816,268320,440880,413232,450432,447696,389136,274752,149856,45024,288,0,0,0,0
2022-08-06,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,8160,42624,93456,176592,272640,298656,439824,422112,248496,314304,285312,103632,22656,1248,0,0,0,0
2022-08-07,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,17808,30144,87312,121920,92688,186288,395856,384528,242928,129312,182064,83952,15120,0,0,0,0,0
2022-08-08,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,0,16896,47184,55632,44928,2976,2880,864,14208,20928,18960,0,4368,0,0,0,0,0
2022-08-09,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,0,48,5856,5328,45840,59664,30960,43248,107664,86640,24288,192,0,0,0,0,0,0
2022-08-10,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,0,6240,48384,24576,22416,65808,220416,62832,27312,21024,16464,624,0,0,0,0,0,0
2022-08-11,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,0,9072,65760,29712,66192,56496,28032,36960,57696,54672,52944,2592,1296,0,0,0,0,0
2022-08-12,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,4848,44784,156384,285216,294384,411936,484656,487536,463584,375696,256464,123120,39552,1200,0,0,0,0
2022-08-13,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,4368,23280,30384,46224,14592,4848,25920,4656,19968,65952,134976,48960,24864,288,0,0,0,0
2022-08-14,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,3216,30000,98208,103248,246528,334752,348624,210336,91344,37200,14208,7440,2976,0,0,0,0,0
2022-08-15,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,3360,36144,105168,167376,270288,320160,390768,259968,122688,82416,25200,27504,0,0,0,0,0,0
2022-08-16,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,1728,41712,158784,293856,391392,445824,491808,492384,466320,411168,322656,187968,32832,0,0,0,0,0
2022-08-17,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,9072,47088,117024,166416,271296,363312,486672,484944,464592,408192,319200,178224,31296,0,0,0,0,0
2022-08-18,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,8304,61488,146160,240768,383760,455856,484560,460224,237120,373440,245856,105600,48864,912,0,0,0,0
2022-08-19,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,8400,38736,110640,199872,171648,152736,82704,80976,73008,71376,54816,24288,6720,0,0,0,0,0
2022-08-20,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,4608,40080,152304,287856,187824,73440,137760,324432,475632,411792,317184,173040,22320,0,0,0,0,0
2022-08-21,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,4752,56496,139152,283776,361056,424512,483264,464544,443472,391008,292368,141840,25056,0,0,0,0,0
